Item ID,Custom Label,Product ID Type,Product ID Value,Product ID Value 2,Quantity Available,Purchases,Bids,Price,Start Date,End Date,Condition,Type,Item Title,Category Leaf Name,Category Number,Private Notes,Site Listed,Download Date,Variation Details,Product Reference ID,Condition ID,OutOfStockControl
402168521407,1357lightblue,,,,25,0,,$7.99,Mar-17-20,,New,9,Glass Aurora Borealis Blue Cabochon Faceted Iridescent Button Cab Vintage 22 mm,Cabochons,101436,,0,Apr-23-20 22:19:57 PDT,,,1000,false
252504519301,1036L,,,,7,17,,$12.99,Aug-18-16,,New with tags,9,5 CVS Sheer To Waist Pantyhose / Extra Tall_Black_Cotton Panel_Shadow Toe,Pantyhose & Tights,11525,,0,Apr-23-20 22:19:57 PDT,,,1000,false
251306718717,,,,,4,1,,$39.99,Jul-18-13,,New,9,Castle Limoges France Porcelain Wall Plaque With 22K Gold Arrows & Borders,Other Limoges Collectibles,13817,,0,Apr-23-20 22:19:57 PDT,,,1000,false
253939476463,1095B,,,,1,0,,$99.99,Oct-18-18,,,9,"Vintage Blue Panatela Slacks Levi�s (10"") Bell Bottom Pants W30 L32",Pants,175780,,0,Apr-23-20 22:19:57 PDT,,,,false
253939480238,1108U,,,,1,0,,$79.99,Oct-18-18,,,9,"Vintage Light Grey Levis (11"") Bell Bottom Pants/Jeans W31 L32 NWT",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
253939484785,1090F,,,,1,0,,$39.99,Oct-18-18,,,9,Vintage 70�s-80�s Blue Stacy Slacks (11�) Bell Bottoms Pants/Jeans W27 L34,Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
401819594186,1050Q,,,,5,0,,$19.99,Jul-18-19,,New with tags,9,"Gold Tone Tube Link Double Chain Necklace 20""",Necklaces & Pendants,155101,,0,Apr-23-20 22:19:57 PDT,,,1000,false
401619464627,1118L,,,,1,0,,$79.99,Oct-18-18,,,9,Vintage Salmon Colored Levis (12�) Bell Bottom Pants/Jeans W33 L34,Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
261069815424,1064G,,,,3,0,,$34.99,Jul-18-12,,New,9,Nancy Lopez Delma Series RH 6 Iron Golf Club Graphite Shaft Flex Match 3,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
400960077311,1056M,,,,94,8,,$5.99,Jul-18-15,,New with tags,9,"L'eggs Women's Brown Sugar Off Black Knee Highs, Sandalfoot  32128 (2 Pairs)",Pantyhose & Tights,11525,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254425676049,1032D,,,,40,0,,$6.99,Nov-18-19,,New,9,3 Vintage Ceramic Yellow Green Flower Pendant Oval Floral Charm 57 mm,Charms & Pendants,83891,,0,Apr-23-20 22:19:57 PDT,,,1000,false
251111326424,,,,,1,0,,$34.99,Jul-18-12,,New,9,New Nancy Lopez Fame Series RH 6 Golf Club Graphite Shaft Flex Match 4,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254301780281,1071G,,,,8,0,,$9.99,Jul-18-19,,New with tags,9,"Purple Sea Shell Bohemian Beach Surfer Chic Beaded Necklace 17 """,Necklaces & Pendants,155101,,0,Apr-23-20 22:19:57 PDT,,,1000,false
400391834066,1063G,,,,19,5,,$149.99,Jan-18-13,,New,9,Mountain Plumbing Cross Handle Lavatory Supply Kit with P-Trap MT8108,Other Home Plumbing & Fixtures,3191,,0,Apr-23-20 22:19:57 PDT,,,1000,false
401819637384,1045J,,,,5,0,,$9.99,Jul-18-19,,New with tags,9,"Blue Beaded Choker Necklace Artsy Fashion Jewelry 15 1/2 """,Necklaces & Pendants,155101,,0,Apr-23-20 22:19:57 PDT,,,1000,false
400554832734,1038L,,,,566,55,,$6.99,Aug-18-13,,New,9,"5/16"",3/8"", 7/16"",1/2"", 9/16"",5/8"", 11/16"",3/4"",13/16"",7/8"" Obstruction Wrenches",Wrench Sets,29527,,0,Apr-23-20 22:19:57 PDT,,,1000,false
400744118293,1048E,,,,16,3,,$24.99,Jul-18-14,,New,9,Dr. Scholl's DR2121Q Microbead filling Cushi Foot Massager,Massagers,36449,,0,Apr-23-20 22:19:57 PDT,,,1000,false
401661819121,1114G,,,,10,0,,$4.99,Dec-18-18,,New,9,Vintage Rectangular Cabochon Textured Patterned Flat Back 12 X 17 mm,Cabochons,101436,,0,Apr-23-20 22:19:57 PDT,,,1000,false
261069836303,,,,,5,0,,$34.99,Jul-18-12,,New,9,New Nancy Lopez Roswell 100 Series RH 7/8 Iron Golf Club True Temper Steel,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
401819649490,1123U,,,,9,0,,$4.99,Jul-18-19,,New with tags,9,White Pearl Heart Drop Dangle Earrings Fashion Jewelry,Earrings,50647,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254301804681,1070V,,,,10,0,,$4.99,Jul-18-19,,New with tags,9,Pink Pearl Heart Drop Dangle Earrings Fashion Jewelry,Earrings,50647,,0,Apr-23-20 22:19:57 PDT,,,1000,false
400775415164,1027G,,,,990,13,,$6.99,Sep-18-14,,New,9,"2 Magnatip Tape Measure Magnet - Clips to Measuring Tape / Ruler - 1"" Wide",Measuring Tapes & Rulers,29524,,0,Apr-23-20 22:19:57 PDT,,,1000,false
401661851732,1113V,,,,15,0,,$2.99,Dec-18-18,,New,9,Vintage Pink Butterfly Pendant Charm Jewelry Findings 34 mm Germany,Charms & Pendants,83891,,0,Apr-23-20 22:19:57 PDT,,,1000,false
251406510327,1033V,,,,18,8,,$5.99,Dec-18-13,,New,9,30 Colorful Eraser Caps Fit Standard Wood-case Pencil,Other Collectible Pencils,968,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254301825971,1051N,,,,10,1,,$19.99,Jul-18-19,,New with tags,9,"Green Semi Precious Chip Beads Puka Necklace Beach Boho 16 """,Necklaces & Pendants,155101,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254030886511,1102D,,,,96,10,,$4.99,Dec-18-18,,New,9,Vintage Gold Tone Tulip Floral Bead Findings Caps 10 mm,Beads,146290,,0,Apr-23-20 22:19:57 PDT,,,1000,false
251649791859,1055C,,,,5,0,,$14.99,Sep-18-14,,New,9,"Kendall Tenderskin Hypoallergenic Paper Tape 2"" x 10 Yards # 2419","Bandages, Gauze & Dressings",75034,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254301832842,1051M,,,,10,0,,$23.99,Jul-18-19,,New with tags,9,"Green Semi Precious Chip Beads Puka Necklace Beach Boho 17 """,Necklaces & Pendants,155101,,0,Apr-23-20 22:19:57 PDT,,,1000,false
260897092752,1027W,,,,99,213,,$7.99,Nov-18-11,,New,9,"2 Stanley 9.5"" x 3.25"" Pole Sanders_Sanding Pads With Poles",Taping Tools,46577,,0,Apr-23-20 22:19:57 PDT,,,1000,false
251215724833,1063K,,,,5,0,,$69.99,Jan-18-13,,New,9,Mountain Plumbing Toilet Angle Supply Kit MT5002L MT434X MT441X Polished Chrome,Valves,259858,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254030901617,478FILIGREECAPS,,,,10,2,,$4.99,Dec-18-18,,New,9,Vintage Gold Tone Filigree Bead Caps Findings Crafts Jewelry Making11 mm,Bead Caps,160678,,0,Apr-23-20 22:19:57 PDT,,,1000,false
251620766092,1049A,,,,24,1,,$2.99,Aug-18-14,,New with tags,9,Foam Front Adjustible Hat_Meshed Back_Baseball Cap_White_Gray_Brown_Blue_Yellow,Hats,52365,,0,Apr-23-20 22:19:57 PDT,,,1000,false
250934878987,1048U,,,,1,0,,$149.99,Nov-18-11,,New � Open box,9,"Emart 74 Brass Reversible Vertical Rod Series push to Open, Door Opener",Openers & Closers,63892,,0,Apr-23-20 22:19:57 PDT,,,1500,false
254030913118,1109V,,,,10,0,,$4.99,Dec-18-18,,New,9,Vintage Light Pastel Pink Oval Dome Top Cabochon 39 mm,Cabochons,101436,,0,Apr-23-20 22:19:57 PDT,,,1000,false
260897105066,260897105066,,,,1,16,,$69.99,Nov-18-11,,New,9,"New Joran 1-1/8"" X 8/13"" Masonry Spline Shank Carbide Drill Bit Made In Denmark",Drill Bits,50382,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254301861907,1050Z,,,,5,0,,$9.99,Jul-18-19,,New with tags,9,"Gold Tone Box Link Chain Necklace 15""",Necklaces & Pendants,155101,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254030946903,1114Q,,,,99,5,,$4.99,Dec-18-18,,New,9,Vintage Red Dark Ruby Gold Foiled Glass Cabochon Imitation Stones 14 mm Germany,Cabochons,101436,,0,Apr-23-20 22:19:57 PDT,,,1000,false
400391912359,1047E,,,,5,0,,$69.99,Jan-18-13,,New,9,"Concinnity 12"" beehive Polished Brass Pull Handle BAH-190-12",Cabinet Pulls,259156,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254030960682,1116L,,,,9,1,,$4.99,Dec-18-18,,New,9,Vintage Round Blue Gold Abstract Cabochon Lampwork 40 mm Crafts Jewelry Making,Cabochons,101436,,0,Apr-23-20 22:19:57 PDT,,,1000,false
